,Date,weighted_market
713,Oct 19  2017,51159450.0
714,Oct 18  2017,52142678.0
715,Oct 17  2017,52988031.75
716,Oct 16  2017,51485347.75
717,Oct 15  2017,51985676.75
718,Oct 14  2017,51587675.25
719,Oct 13  2017,51397348.75
720,Oct 12  2017,54303797.0
721,Oct 11  2017,52408091.25
722,Oct 10  2017,51882297.5
723,Oct 09  2017,50379173.75
724,Oct 08  2017,50992534.5
725,Oct 07  2017,55328406.25
726,Oct 06  2017,55525964.0
727,Oct 05  2017,55495757.5
728,Oct 04  2017,55967791.5
729,Oct 03  2017,57924287.5
730,Oct 02  2017,62426287.0
731,Oct 01  2017,60707722.5
732,Sep 30  2017,63017962.5
733,Sep 29  2017,61706513.0
734,Sep 28  2017,63313652.25
735,Sep 27  2017,66096783.0
736,Sep 26  2017,60873987.0
737,Sep 25  2017,62706300.0
738,Sep 24  2017,60603297.0
739,Sep 23  2017,66150298.25
740,Sep 22  2017,56514044.0
741,Sep 21  2017,57360023.75
742,Sep 20  2017,64135577.75
743,Sep 19  2017,58296090.5
744,Sep 18  2017,56726521.0
745,Sep 17  2017,54195580.25
746,Sep 16  2017,55712223.25
747,Sep 15  2017,54744083.5
748,Sep 14  2017,44466715.25
749,Sep 13  2017,50233155.25
750,Sep 12  2017,51018231.5
751,Sep 11  2017,52855570.75
752,Sep 10  2017,52919631.0
753,Sep 09  2017,55602370.25
754,Sep 08  2017,57011559.25
755,Sep 07  2017,59833350.5
756,Sep 06  2017,61568158.5
757,Sep 05  2017,60321388.75
758,Sep 04  2017,57469300.5
759,Sep 03  2017,63693549.5
760,Sep 02  2017,63113533.5
761,Sep 01  2017,70728671.5
762,Aug 31  2017,65978735.5
763,Aug 30  2017,66657683.75
764,Aug 29  2017,63026881.25
765,Aug 28  2017,68522314.0
766,Aug 27  2017,69981240.5
767,Aug 26  2017,66386118.5
768,Aug 25  2017,60812327.0
769,Aug 24  2017,56108298.5
770,Aug 23  2017,49000886.0
771,Aug 22  2017,48094105.25
772,Aug 21  2017,49353711.0
773,Aug 20  2017,48193152.75
774,Aug 19  2017,49539217.5
775,Aug 18  2017,43800651.75
776,Aug 17  2017,45036819.75
777,Aug 16  2017,47445585.0
778,Aug 15  2017,52100807.0
779,Aug 14  2017,42233773.25
780,Aug 13  2017,45125260.75
781,Aug 12  2017,46197556.75
782,Aug 11  2017,47274739.5
783,Aug 10  2017,49338962.0
784,Aug 09  2017,50772519.0
785,Aug 08  2017,54245817.0
786,Aug 07  2017,52635850.25
787,Aug 06  2017,52712725.0
788,Aug 05  2017,53430087.75
789,Aug 04  2017,49972175.25
790,Aug 03  2017,48602967.0
791,Aug 02  2017,47922398.5
792,Aug 01  2017,47500505.5
793,Jul 31  2017,46767894.25
794,Jul 30  2017,43185837.75
795,Jul 29  2017,48029675.75
796,Jul 28  2017,39424018.5
797,Jul 27  2017,41889923.5
798,Jul 26  2017,43377178.75
799,Jul 25  2017,43832341.5
800,Jul 24  2017,49140117.5
801,Jul 23  2017,49471834.75
802,Jul 22  2017,51181975.5
803,Jul 21  2017,45808130.0
804,Jul 20  2017,42209321.0
805,Jul 19  2017,35131936.5
806,Jul 18  2017,37168149.75
807,Jul 17  2017,36810651.25
808,Jul 16  2017,28949554.75
809,Jul 15  2017,30009314.5
810,Jul 14  2017,33262834.75
811,Jul 13  2017,37271071.0
812,Jul 12  2017,40703833.5
813,Jul 11  2017,37004052.25
814,Jul 10  2017,36629053.5
815,Jul 09  2017,47473619.75
816,Jul 08  2017,52518832.75
817,Jul 07  2017,43075609.75
818,Jul 06  2017,49872363.75
819,Jul 05  2017,52316544.5
820,Jul 04  2017,50807298.75
821,Jul 03  2017,45508709.0
822,Jul 02  2017,42618937.0
823,Jul 01  2017,42179817.5
824,Jun 30  2017,45175364.5
825,Jun 29  2017,48108373.5
826,Jun 28  2017,49980948.5
827,Jun 27  2017,49807826.0
